#AFFY	Barcode
1553690_at	0
1553691_at	0
1553693_s_at	0
1553694_a_at	1
1553695_a_at	0
1553696_s_at	0
1553697_at	0
1553698_a_at	0
1553701_a_at	0
1553702_at	0
1553703_at	0
1553704_x_at	0
1553705_a_at	0
1553706_at	0
1553708_at	0
1553709_a_at	1
1553710_at	0
1553711_a_at	0
1553713_a_at	0
1553715_s_at	0
1553717_at	0
1553718_at	0
1553719_s_at	1
1553720_a_at	0
1553721_at	0
1553722_s_at	0
1553723_at	0
1553725_s_at	1
1553726_s_at	0
1553727_at	0
1553728_at	0
1553729_s_at	0
1553730_x_at	0
1553732_s_at	0
1553734_at	0
1553736_at	0
1553739_at	0
1553740_a_at	0
1553741_at	0
1553743_at	1
1553746_a_at	0
1553747_at	0
1553749_at	1
1553750_a_at	0
1553752_at	0
1553755_at	0
1553756_at	0
1553757_at	1
1553759_at	0
1553761_at	0
1553764_a_at	0
1553765_a_at	0
1553768_a_at	0
1553769_at	0
1553770_a_at	0
1553772_at	0
1553775_at	0
1553776_at	0
1553778_at	0
1553780_at	0
1553781_at	1
1553785_at	0
1553787_at	0
1553789_a_at	1
1553792_at	0
1553793_a_at	1
1553794_at	0
1553796_at	0
1553797_a_at	0
1553798_a_at	0
1553799_at	0
1553801_a_at	0
1553802_a_at	0
1553803_at	0
1553804_a_at	0
1553805_at	0
1553808_a_at	0
1553809_a_at	0
1553810_a_at	0
1553811_at	0
1553812_at	0
1553813_s_at	0
1553815_a_at	0
1553817_at	0
1553818_x_at	0
1553821_at	0
1553822_at	0
1553823_a_at	0
1553826_a_at	0
1553828_at	0
1553829_at	0
1553830_s_at	1
1553831_at	0
1553832_at	0
1553834_at	0
1553835_a_at	0
1553837_at	0
1553838_at	0
1553839_at	0
1553840_a_at	0
1553842_at	0
1553843_at	0
1553844_a_at	0
1553845_x_at	0
1553846_at	0
1553847_a_at	0
1553849_at	0
1553850_at	0
1553851_at	0
1553852_at	0
1553856_s_at	0
1553857_at	0
1553858_at	0
1553859_at	1
1553860_at	0
1553861_at	1
1553863_at	0
1553864_at	0
1553865_a_at	0
1553868_a_at	0
1553869_at	0
1553871_at	0
1553872_at	0
1553873_at	1
1553874_a_at	0
1553875_s_at	0
1553876_at	0
1553878_at	0
1553879_a_at	0
1553880_at	0
1553881_at	0
1553882_at	0
1553883_at	0
1553885_x_at	0
1553886_at	0
1553887_at	0
1553888_at	0
1553889_at	0
1553890_s_at	0
1553891_at	0
1553893_at	0
1553894_at	0
1553895_at	0
1553898_a_at	0
1553900_s_at	0
1553901_x_at	0
1553905_at	0
1553906_s_at	0
1553907_a_at	0
1553909_x_at	0
1553910_at	0
1553911_at	0
1553912_at	0
1553914_at	0
1553915_at	0
1553917_at	0
1553918_at	0
1553919_at	0
1553920_at	0
1553923_at	0
1553924_at	0
1553927_at	0
1553928_at	0
1553929_at	0
1553930_at	0
1553931_at	0
1553934_at	0
1553935_at	0
1553936_a_at	0
1553938_a_at	0
1553940_a_at	0
1553943_at	0
1553944_at	0
1553945_at	0
1553946_at	0
1553947_at	0
1553949_at	0
1553952_at	0
1553954_at	0
1553955_at	0
1553956_at	1
1553957_at	0
1553959_a_at	0
1553960_at	0
1553961_s_at	0
1553962_s_at	0
1553963_at	0
1553965_x_at	0
1553967_at	0
1553968_a_at	0
1553970_s_at	0
1553971_a_at	0
1553972_a_at	0
1553973_a_at	0
1553974_at	0
1553976_a_at	0
1553977_a_at	0
1553978_at	1
1553979_at	1
1553982_a_at	0
1553983_at	0
1553984_s_at	1
1553986_at	1
1553987_at	0
1553989_a_at	0
1553990_at	0
1553991_s_at	1
1553992_s_at	0
1553993_s_at	0
1553994_at	0
1553995_a_at	0
1553997_a_at	0
1553998_at	0
1554001_at	1
1554003_at	0
1554004_a_at	0
1554006_a_at	0
1554007_at	1
1554008_at	0
1554010_at	0
1554012_at	0
1554014_at	0
1554015_a_at	1
1554016_a_at	0
1554017_at	0
1554018_at	0
1554019_s_at	1
1554020_at	0
1554021_a_at	0
1554022_at	0
1554023_s_at	0
1554026_a_at	0
1554027_a_at	0
1554029_a_at	0
1554030_at	0
1554032_at	0
1554033_at	0
1554034_a_at	0
1554036_at	1
1554037_a_at	1
1554038_at	0
1554039_at	0
1554041_at	0
1554042_s_at	0
1554043_a_at	0
1554044_a_at	0
1554045_at	1
1554047_at	0
1554049_s_at	1
1554050_at	0
1554052_at	0
1554053_at	1
1554057_at	1
1554059_at	0
1554060_s_at	0
1554062_at	0
1554063_at	0
1554065_at	0
1554067_at	0
1554068_s_at	0
1554069_at	0
1554071_at	0
1554072_s_at	0
1554074_s_at	0
1554076_s_at	0
1554077_a_at	0
1554078_s_at	1
1554079_at	0
1554080_at	0
1554082_a_at	0
1554084_a_at	0
1554085_at	0
1554086_at	0
1554089_s_at	1
1554091_a_at	0
1554093_a_at	0
1554094_at	0
1554095_at	0
1554096_a_at	1
1554097_a_at	0
1554098_at	0
1554099_a_at	0
1554101_a_at	0
1554102_a_at	0
1554103_at	0
1554105_at	0
1554106_at	0
1554108_at	0
1554110_at	0
1554112_a_at	0
1554113_a_at	0
1554114_s_at	0
1554115_at	0
1554116_s_at	0
1554117_at	0
1554119_at	0
1554121_at	0
1554122_a_at	0
1554125_a_at	0
1554126_at	0
1554127_s_at	0
1554128_at	0
1554129_a_at	0
1554131_at	0
1554132_a_at	0
1554133_at	0
1554140_at	0
1554141_s_at	0
1554142_at	0
1554143_a_at	0
1554145_a_at	0
1554147_s_at	0
1554148_a_at	0
1554149_at	1
1554151_at	0
1554152_a_at	0
1554153_a_at	0
1554154_at	0
1554155_at	0
1554156_a_at	0
1554157_a_at	0
1554158_at	0
1554159_a_at	0
1554160_a_at	0
1554161_at	1
1554163_at	0
1554165_at	0
1554167_a_at	0
1554168_a_at	0
1554170_a_at	0
1554171_at	1
1554172_a_at	0
1554173_at	0
1554175_at	0
1554176_a_at	0
1554177_a_at	0
1554178_a_at	0
1554179_s_at	0
1554181_at	0
1554182_at	0
1554183_s_at	0
1554185_at	0
1554187_at	0
1554188_at	0
1554190_s_at	0
1554192_s_at	0
1554193_s_at	0
1554194_at	0
1554195_a_at	0
1554196_at	0
1554198_at	0
1554199_at	1
1554201_at	0
